asn,category
7,gov
24,gov
37,gov
49,gov
50,gov
70,gov
89,gov
102,gov
127,gov
138,gov
147,gov
224,gov
228,gov
243,gov
273,gov
288,gov
293,gov
297,gov
300,gov
306,gov
312,gov
316,gov
319,gov
321,gov
341,gov
345,gov
351,gov
352,gov
356,gov
367,gov
400,gov
518,gov
542,gov
559,gov
567,gov
571,gov
600,gov
637,gov
668,gov
683,gov
688,gov
745,gov
749,gov
764,gov
766,gov
786,gov
818,gov
905,gov
1226,gov
1348,gov
1554,gov
1556,gov
1565,gov
1569,gov
1586,gov
1733,gov
1798,gov
1827,gov
1837,gov
1955,gov
1998,gov
2026,gov
2384,gov
2544,gov
2576,gov
2611,gov
2614,gov
2633,gov
2650,gov
2665,gov
2675,gov
2727,gov
2769,gov
2894,gov
2920,gov
3136,gov
3219,gov
3233,gov
3240,gov
3401,gov
3471,gov
3477,gov
3527,gov
3562,gov
3635,gov
3705,gov
3709,gov
3766,gov
3926,gov
4152,gov
4179,gov
4193,gov
4211,gov
4454,gov
4651,gov
4758,gov
4782,gov
4820,gov
4859,gov
4894,gov
4954,gov
5108,gov
5110,gov
5132,gov
5306,gov
5498,gov
5507,gov
5542,gov
5744,gov
5774,gov
5831,gov
5860,gov
5972,gov
6040,gov
6122,gov
6150,gov
6559,gov
6699,gov
6733,gov
6769,gov
6849,gov
6922,gov
6966,gov
6989,gov
7086,gov
7194,gov
7417,gov
7465,gov
7471,gov
7497,gov
7564,gov
7773,gov
7872,gov
8103,gov
8140,gov
8194,gov
8240,gov
8414,gov
8506,gov
8517,gov
8519,gov
8659,gov
8834,gov
8867,gov
8956,gov
8978,gov
9201,gov
9270,gov
9275,gov
9389,gov
9489,gov
9509,gov
9546,gov
9647,gov
9650,gov
9732,gov
9811,gov
9821,gov
9829,gov
9835,gov
10063,gov
10187,gov
10412,gov
10442,gov
10616,gov
10670,gov
10897,gov
10921,gov
10938,gov
10944,gov
10954,gov
11097,gov
11205,gov
11361,gov
11394,gov
11577,gov
11663,gov
11687,gov
11708,gov
11802,gov
11956,gov
11974,gov
12051,gov
12102,gov
12156,gov
12191,gov
12253,gov
12303,gov
12376,gov
12443,gov
12509,gov
12511,gov
12564,gov
12782,gov
13011,gov
13029,gov
13223,gov
13325,gov
13456,gov
13470,gov
13506,gov
13543,gov
13611,gov
13685,gov
13781,gov
13788,gov
13855,gov
13918,gov
13972,gov
14072,gov
14223,gov
14242,gov
14263,gov
14303,gov
14308,gov
14488,gov
14677,gov
14734,gov
14736,gov
14827,gov
14877,gov
14977,gov
14983,gov
15029,gov
15130,gov
15147,gov
15196,gov
15205,gov
15304,gov
15383,gov
15386,gov
15419,gov
15770,gov
15806,gov
16060,gov
16426,gov
16502,gov
16569,gov
16697,gov
16700,gov
16701,gov
16741,gov
16796,gov
16986,gov
17120,gov
17147,gov
17297,gov
17365,gov
17485,gov
17494,gov
17574,gov
17595,gov
17793,gov
18043,gov
18055,gov
18125,gov
18255,gov
18431,gov
18440,gov
18482,gov
18558,gov
18614,gov
18760,gov
18777,gov
18847,gov
18889,gov
18975,gov
19014,gov
19050,gov
19076,gov
19179,gov
19185,gov
19307,gov
19323,gov
19329,gov
19348,gov
19399,gov
19426,gov
19534,gov
19589,gov
19713,gov
19722,gov
19723,gov
19725,gov
