asn,name,category
174,"Cogent Communications, LLC",t1
701,Verizon Business,t1
1239,Sprint Wireline (Cogent),t1
1299,Arelion (fka. Telia Carrier),t1
2914,"NTT America, Inc.",t1
3257,GTT Communications Inc.,t1
3320,Deutsche Telekom AG,t1
3356,Lumen (Level 3),t1
3491,PCCW Global (HK) Ltd.,t1
5511,Orange S.A.,t1
6762,Telecom Italia Sparkle (Seabone),t1
6830,Liberty Global Europe Holding B.V.,t1
7018,"AT&T Enterprises, LLC",t1
6939,Hurricane Electric LLC,t1
7,The Defence Science and Technology Laboratory,gov
24,National Aeronautics and Space Administration,gov
37,US DoD Naval Surface Warfare Center,gov
49,National Institute of Standards and Technology,gov
50,Oak Ridge National Laboratory,gov
70,National Library of Medicine,gov
89,DoD Naval Undersea Warfare,gov
102,U.S. National Science Foundation,gov
127,Jet Propulsion Laboratory,gov
138,United States Department of Defense (DoD),gov
147,United States Department of Defense (DoD),gov
224,Sikt (Uninett),gov
228,United States Department of Defense (DoD),gov
243,"L3Harris Technologies, Inc.",gov
273,United States Department of Defense (DoD),gov
288,European Space Agency (ESA),gov
293,ESnet,gov
297,National Aeronautics and Space Administration,gov
300,United States Department of Defense (DoD),gov
306,United States Department of Defense (DoD),gov
312,United States Department of Defense (DoD),gov
316,United States Department of Defense (DoD),gov
319,United States Department of Defense (DoD),gov
321,United States Department of Defense (DoD),gov
341,United States Department of Defense (DoD),gov
345,United States Department of Defense (DoD),gov
351,United States Department of Defense (DoD),gov
352,United States Department of Defense (DoD),gov
356,United States Department of Defense (DoD),gov
367,United States Department of Defense (DoD),gov
400,Air Force Systems Networking,gov
518,United States Department of Defense (DoD),gov
542,Alberta Research Council,gov
559,SWITCH,gov
567,Los Nettos,gov
571,United States Department of Defense (DoD),gov
600,OARnet,gov
637,United States Department of Defense (DoD),gov
668,DoD High Performance Computing (Defense Research and Engineering Network),gov
683,Argonne National Laboratory,gov
688,U.S. Department of Interior Bureau of Reclamation,gov
745,Air Force Systems Networking,gov
749,United States Department of Defense (DoD),gov
764,Prime Ministers Office,gov
766,Entidad Publica Empresarial Red.es,gov
786,Jisc Services Limited,gov
818,Department of Communications,gov
905,Waterloo regional police service,gov
1226,California Department of Technology,gov
1348,California Department of Transportation,gov
1554,United States Department of Defense (DoD),gov
1556,United States Department of Defense (DoD),gov
1565,United States Department of Defense (DoD),gov
1569,United States Department of Defense (DoD),gov
1586,United States Department of Defense (DoD),gov
1733,United States Department of Defense (DoD),gov
1798,State of Oregon,gov
1827,Manatee County Government,gov
1837,The North Atlantic Treaty Organization,gov
1955,KIFU (Governmental Info Tech Development Agency),gov
1998,State of Minnesota,gov
2026,City of Helsinki,gov
2384,Architect of the Capitol,gov
2544,King County Gov,gov
2576,U. S. Department of Transportation,gov
2611,BELNET,gov
2614,Agentia de Administrare a Retelei Nationale de Inform...,gov
2633,National Academy of Sciences,gov
2650,Executive Office Of The President,gov
2665,Shared Services Canada,gov
2675,Shared Services Canada,gov
2727,"Electric Plant Board of the City of Glasgow, Kentucky",gov
2769,State of Nebraska / Office of the CIO,gov
2894,California Department of Water Resources,gov
2920,Los Angeles County Office of Education,gov
3136,State of WI Dept. of Administration,gov
3219,Ministry of Local Government and Regional Development,gov
3233,Institutul National de Cercetare-Dezvoltare in inform...,gov
3240,Styrelsen for It og Læring,gov
3401,"City of Seattle, Dept. of Admin. Services",gov
3471,United States Department of Defense (DoD),gov
